email_content,predicted_label,correct_label
"http://verify-account-security-update-login-1234.com/secure

",0,1
"http://verify-account-security-update-login-1234.com/secure

",0,1
"http://verify-account-security-update-login-1234.com/secure

",0,1
"http://verify-account-security-update-login-1234.com/secure

",0,0
"http://verify-account-security-update-login-1234.com/secure

",0,1
"i am aayush

",0,0
"i am aayush parb give me money
",0,1
http://verify-account-security-update-login-1234.com/secure,1,1
hello,0,0
"nom actual vols 24 th forwarded sabrae zajac hou ect 05 30 2001 12 07 pm enron capital trade resources corp eileen ponton 05 29 2001 08 37 davilal txu com cstonel txu com mjones 7 txu com hpl scheduling enron com liz bellamy enron com szajac enron com cc subject nom actual vols 24 th agree nomination 33 750 forwarded eileen ponton houston pefs pec 05 29 01 08 36 charlie stone eileen ponton melissa jones com hpl scheduling enron com liz bellamy enron com szajac enron com 05 25 01 subject nom actual vols 24 th 04 23 pm agree nominated volume records reflect following nom schedule 30 rate eff 0900 hrs hour beginning 1400 hrs 6 250 60 rate eff 1400 hrs hour beginning 1700 hrs 7 500 30 rate eff 1700 hrs hour beginning 0900 hrs 20 000 total nominated 33 750 please review source data let us know agree thanks ccs eileen ponton 05 25 2001 04 06 50 pm david avila lsp enserch us tu charlie stone energy txu tu melissa jones energy txu tu hpl scheduling enron com liz bellamy enron com szajac enron com cc subject nom actual vols 24 th nom mcf mmbtu 27 500 33 109 34 003
",1,1
"enron hpl nom december 1 2000 see attached file hplnl 201 xls hplnl 201 xls
",0,0
wow can i ge 12 dollors for charity,0,
"Subject: Urgent: Account Verification Required

Body:
Dear Customer,

We have detected unusual activity in your account and require immediate verification to prevent suspension.

Please verify your account by clicking the link below:
https://secure-paypal-login.com/account/verify

If you do not verify within 24 hours, your account will be permanently locked.

Thank you,
PayPal Security Team",0,1
"Subject: Urgent: Account Verification Required

Body:
Dear Customer,

We have detected unusual activity in your account and require immediate verification to prevent suspension.

Please verify your account by clicking the link below:
https://secure-paypal-login.com/account/verify

If you do not verify within 24 hours, your account will be permanently locked.

Thank you,
PayPal Security Team",1,1
hello this is Aayush Parab writing this email to you,0,0
"send me money 20000$ on this acc ahiasd@bank 	
",0,1
